exam,exam_question_index,module,question_type,passage_or_sentence,question_text,A,B,C,D,correct,explanation
1,1,1,Grammar (Agreement),Neither the director nor the assistants ___ willing to change the schedule.,Which choice correctly completes the sentence?,is,are,were,be,B,"With neither...nor, verb agrees with nearer subject 'assistants' (plural)."
1,2,1,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
1,3,1,Evidence,Scholars argued that coral resilience reshaped public behavior; evidence includes changes in consumer practices and policy adoption.,Which choice would provide the strongest evidence for the claim that the topic changed public behavior?,A historical timeline of policies unrelated to behavior.,Survey data showing sustained shifts in consumer practices after adoption.,A short anecdote about one person.,An unrelated editorial.,B,Survey data demonstrating sustained shifts is strongest empirical evidence.
1,4,1,Grammar (Agreement),Neither the director nor the assistants ___ willing to change the schedule.,Which choice correctly completes the sentence?,is,are,were,be,B,"With neither...nor, verb agrees with nearer subject 'assistants' (plural)."
1,5,1,Transition,"The policy reduced costs. ___, employees reported lower morale.",Which transition best fits?,Therefore,Consequently,Nevertheless,Similarly,C,Contrast between reduced costs and lower morale.
1,6,1,Main Idea,"electric buses has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
1,7,1,Words in Context,"Scholars described the proposal as ""sound"", noting it departed from established methods.","As used in the passage, ""sound"" most nearly means:",reliable,noisy,illegal,temporary,A,"""sound"" in scholarly context usually means reliable rather than the other choices."
1,8,1,Words in Context,"Scholars described the proposal as ""yield"", noting it departed from established methods.","As used in the passage, ""yield"" most nearly means:",produce,surrender,delay,temporary,A,"""yield"" in scholarly context usually means produce rather than the other choices."
1,9,1,Vocabulary in Context,"The study was initially considered obscure by peers, but later evidence supported its claims.","As used here, ""obscure"" most nearly means:",unclear,famous,loud,controversial,A,"In this scientific context, obscure indicates unclear."
1,10,1,Evidence,Scholars argued that education platforms reshaped public behavior; evidence includes changes in consumer practices and policy adoption.,Which choice would provide the strongest evidence for the claim that the topic changed public behavior?,A historical timeline of policies unrelated to behavior.,Survey data showing sustained shifts in consumer practices after adoption.,A short anecdote about one person.,An unrelated editorial.,B,Survey data demonstrating sustained shifts is strongest empirical evidence.
