exam,exam_question_index,module,question_type,passage_or_sentence,question_text,A,B,C,D,correct,explanation
1,1,Craft and Structure,Words in Context,"The ancient tree loomed over the village, its gnarled branches casting eerie shadows on the path.","What does 'gnarled' most nearly mean as used in the passage?","smooth","twisted","young","colorful",B,"'Gnarled' means twisted or knotted, describing the tree branches."
1,2,Standard English Conventions,Boundaries,"The team practice every day improve their skills significantly.","Which revision best corrects the sentence above?","The team practice every day, improve their skills significantly.","The team practices every day to improve their skills significantly.","The team practice every day improves their skills significantly.","The team practices every day improve their skills significantly.",B,"Subject-verb agreement requires 'team' (singular) matched with 'practices' and an infinitive 'to improve.'"
1,3,Information and Ideas,Command of Evidence,"Passage: 'Robots are increasingly used in manufacturing to improve efficiency and accuracy.'","Which part of the passage best supports the claim that robots improve factory productivity?","'Robots are increasingly used in manufacturing.'","'to improve efficiency and accuracy.'","'manufacturing to improve efficiency.'","'used in manufacturing to improve accuracy.'",B,"The phrase 'to improve efficiency and accuracy' directly supports the claim about productivity improvements."
1,4,Expression of Ideas,Transitions,"The author uses the phrase 'on the other hand' in the passage most likely to:","What is the purpose of the transition 'on the other hand'?","Introduce an example","Introduce a contrast","Emphasize a point","Summarize an idea",B,"'On the other hand' signals a contrast or opposing idea in the text."
1,5,Craft and Structure,Text Structure and Purpose,"An author begins a story focusing on the setting before introducing the characters.","What is the likely purpose of this narrative structure?","To create a vivid backdrop","To confuse the reader","To resolve the conflict quickly","To list events chronologically",A,"Introducing the setting first creates atmosphere and context for characters."
1,6,Standard English Conventions,Form Structure and Sense,"Each of the players are ready for the tournament.","Which is the best revision?","Each of the players is ready for the tournament.","Each of the players are ready for tournaments.","Each players are ready for the tournament.","Each of the player is ready for the tournament.",A,"'Each' is singular; so 'is' agrees correctly with the subject."
1,7,Information and Ideas,Central Idea,"Passage discusses how recycling reduces waste and conserves resources.","What is the central idea of the passage?","Recycling is difficult","Recycling saves money","Recycling benefits environment","Recycling causes pollution",C,"The passage emphasizes environmental benefits of recycling."
1,8,Expression of Ideas,Rhetorical Synthesis,"The essay compares two authors who both explore themes of identity and exile.","What is the main rhetorical strategy used here?","Contrasting ideas","Comparing similar themes","Narrating events","Describing settings",B,"The essay draws similarities in theme for rhetorical effect."
1,9,Craft and Structure,Cross-Text Connections,"Passage A shows climate causes migration; Passage B shows economic reasons.","What connection can be made between the two passages?","They contradict each other","They complement each other","They ignore each other","They discuss unrelated topics",B,"Both passages offer reasons behind migration, showing complementary perspectives."
1,10,Standard English Conventions,Boundaries,"She loves cooking her family and her dog.","Which punctuation revision best clarifies the sentence?","She loves cooking, her family, and her dog.","She loves cooking her family, and her dog.","She loves cooking her family and, her dog.","She loves cooking; her family and her dog.",A,"Commas correctly separate items in a series to avoid confusion."
1,11,Information and Ideas,Inferences,"The character stops replying to messages and avoids phone calls.","What inference can be made about the character's feelings?","The character is happy","The character is busy","The character is upset","The character is indifferent",C,"Avoidance suggests upset or distress."
1,12,Expression of Ideas,Transitions,"The sentence begins with 'Therefore,' connecting to previous facts.","What does 'Therefore' indicate in this context?","Addition","Cause and effect","Contrast","Example",B,"'Therefore' shows consequence or result."
1,13,Craft and Structure,Words in Context,"The student's response was succinct but effective.","What does 'succinct' most nearly mean?","Long and detailed","Brief and clear","Confusing","Late",B,"'Succinct' means brief and to the point."
1,14,Standard English Conventions,Form Structure and Sense,"Neither of the solutions were acceptable.","Which revision is correct?","Neither of the solutions were acceptable.","Neither of the solutions was acceptable.","Neither of the solution was acceptable.","Neither of the solution were acceptable.",B,"'Neither' requires singular verb 'was'."
1,15,Information and Ideas,Command of Evidence,"Passage states solar power usage has increased 30% in five years.","Which statistic supports this claim?","Solar power usage doubled last year.","Solar power grew by 30% in five years.","Most homes use solar power.","Solar power is expensive.",B,"The statistic directly confirms the claim."
1,16,Expression of Ideas,Rhetorical Synthesis,"The speaker contrasts urban life with rural tranquility.","What rhetorical effect does this contrast create?","Highlights advantages of the city","Creates tension between lifestyles","Shows urban areas are better","Ignores rural life",B,"Contrasting elements creates tension and emphasizes differences."
1,17,Craft and Structure,Text Structure and Purpose,"An article first lists historical facts, then discusses their impact.","What is the author's purpose?","To entertain","To inform and analyze","To narrate a story","To confuse readers",B,"Informing and analyzing through factual presentation."
1,18,Standard English Conventions,Boundaries,"Walking down the street, the trees swayed in the wind.","Which revision clarifies the sentence?","Walking down the street, I saw the trees sway.","The trees swayed in the wind walking down the street.","Walking down the street the trees swayed wind.","The trees, walking down the street, swayed in the wind.",A,"Clarifies the subject doing the walking."
1,19,Information and Ideas,Central Idea,"The passage argues electric cars reduce pollution and dependence on oil.","What is the most important claim in the passage?","Electric cars are expensive.","Electric cars pollute heavily.","Electric cars benefit environment.","Electric cars are unreliable.",C,"Passage emphasizes environmental benefits."
1,20,Expression of Ideas,Transitions,"She was tired; however, she finished her homework.","What does 'however' indicate?","Addition","Contrast","Cause","Result",B,"'However' indicates contrast between ideas."
1,21,Craft and Structure,Words in Context,"The storm was relentless, battering the coast with fierce winds and rain.","What does 'relentless' mean in the passage?","Gentle","Persistent","Rare","Calm",B,"'Relentless' means persistent and unending."
1,22,Standard English Conventions,Form Structure and Sense,"Neither the book nor the author were mentioned in the review.","Which correction is best?","Neither the book nor the author was mentioned.","Neither the book nor the author were mentioned.","Neither the book or the author was mentioned.","Neither the book or the author were mentioned.",A,"Singular verbs agree with 'neither/nor' subjects."
1,23,Information and Ideas,Command of Evidence,"Research shows that exercise improves mental health and physical fitness.","Which sentence best supports this claim?","Exercise is fun.","Exercise helps both mind and body.","Exercise is tiring.","Exercise requires time.",B,"Directly confirms benefits of exercise."
1,24,Expression of Ideas,Rhetorical Synthesis,"The speaker compares education systems of two countries highlighting student engagement.","What is the rhetorical effect?","Show differences","Show similarities","Criticize one system","Explain a procedure",B,"Comparing engagement emphasizes similarities."
1,25,Craft and Structure,Cross-Text Connections,"Text A describes deforestation impacts; Text B discusses conservation efforts.","What is the relationship between the two texts?","Opposing views","Complementary perspectives","Irrelevant topics","Contradictory claims",B,"Conservation responds to deforestation, so texts complement."
1,26,Standard English Conventions,Boundaries,"Let's eat Grandma!","Which punctuation best clarifies the sentence?","Let's eat, Grandma!","Lets eat Grandma!","Let's eat Grandma!","Lets eat, Grandma!",A,"Comma clarifies meaning to address Grandma, not eat her."
1,27,Information and Ideas,Inferences,"A character pays no attention to warnings and continues risky behavior.","What inference is valid?","The character is careful.","The character is reckless.","The character is fearful.","The character is unaware.",B,"Ignoring warnings shows recklessness."
1,28,Expression of Ideas,Transitions,"Despite heavy rain, the event continued as planned.","What does 'despite' signal?","Cause","Contrast","Addition","Result",B,"'Despite' introduces contrasting information."
1,29,Craft and Structure,Words in Context,"The anecdote provided was amusing and insightful.","What does 'anecdote' mean?","A short personal story","A long essay","A poem","A report",A,"'Anecdote' is a brief, personal story."
1,30,Standard English Conventions,Form Structure and Sense,"Everyone have their own opinions.","Which revision is correct?","Everyone has their own opinions.","Everyone have their own opinion.","Everyone has his or her own opinion.","Everyone have his or her own opinions.",C,"'Everyone' is singular and requires matching singular pronouns and verbs."
1,31,Information and Ideas,Command of Evidence,"Graphs show a steady increase in city population over ten years.","Which statement best supports this?","Population stayed the same.","Population dropped then rose.","Population increased steadily.","Population decreased.",C,"The graph directly shows steady population growth."
